eaAreaName,easting,gridReference,label,lat,long,measures_label,measure_value,measure_date_time,measure_date,measures_notation,measures_parameter,measures_parameterName,measures_period,measures_qualifier,measures_valueType,stationReference,northing
,366550,SJ665574,Rainfall station,53.113166,-2.501173,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,553564-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,553564,357450
,422050,SE220224,Rainfall station,53.698015,-1.667505,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,079621-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,079621,422450
,371650,SO716224,Rainfall station,51.89986,-2.41343,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,1812-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,1812,222450
Thames - West Thames,487177,SU8717671554,Warfield,51.436318,-0.747222,Warfield FWS - level-stage-i-15_min-mASD,1.908,2023-08-09T21:30:00Z,2023-08-09,2613TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2613TH,171558
Midlands - Staffordshire Warwickshire and West Midlands,413592,SK 13592 30746,Marchington,52.874007,-1.799498,Marchington LVL - level-stage-i-15_min-mASD,0.173,2023-08-09T21:30:00Z,2023-08-09,4125-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4125,330746
,450570,SZ5057086460,BLACKWATER GS,50.675611,-1.28567,BLACKWATER GS - level-stage-i-15_min-mAOD,13.836,2023-08-09T21:30:00Z,2023-08-09,E14750-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E14750,86460
,574650,TL746434,Rainfall station,52.061887,0.546282,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T05:15:00Z,2023-08-09,E42297-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E42297,243450
,415550,SE155121,Rainfall station,53.60567,-1.766463,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,078922-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,078922,412150
Midlands - Shropshire Herefordshire Worcestershire and Gloucestershire,351990,,Ludlow Teme,52.36409,-2.706474,Ludlow Teme LVL - level-stage-i-15_min-mASD,1.007,2023-08-09T21:30:00Z,2023-08-09,2625-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2625,274240
,472902,SP7290259587,DUSTON MILL GS NORTHAMPTON,52.229659,-0.934028,DUSTON MILL GS NORTHAMPTON - flow-stage-i-15_min-l_s,36.52,2023-08-09T04:30:00Z,2023-08-09,E1097-flow-stage-i-15_min-l_s,flow,Flow,900,Stage,instantaneous,E1097,259587
Anglian - Lincolnshire and Northamptonshire,520900,,Chapel Hill,53.070452,-0.196967,CHAPEL HILL GS - level-stage-i-15_min-mASD,0.955,2023-08-09T18:45:00Z,2023-08-09,E4403-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E4403,354100
North East - Yorkshire,398735,SD9873551705,Skipton Medical Centre,53.961414,-2.02076,Skipton Medical Centre - level-stage-i-15_min-m,0.075,2023-08-09T21:30:00Z,2023-08-09,L1536-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,L1536,451705
North East - Yorkshire,413980,SE1398038224,Saltaire,53.840066,-1.789021,,,,,,,,,,,L1605,438224
Anglian - Essex Norfolk and Suffolk,635066,TG 35067 20976,Barton Broad,52.735281,1.480458,BARTON BROAD TS - level-tidal_level-i-15_min-mAOD,0.522,2023-08-09T04:30:00Z,2023-08-09,E21563-level-tidal_level-i-15_min-mAOD,level,Water Level,900,Tidal Level,instantaneous,E21563,320977
North East - Yorkshire,394877,SD9487724407,Todmorden Millwood,53.716039,-2.079095,Todmorden Millwood - level-stage-i-15_min-m,0.214,2023-08-09T21:30:00Z,2023-08-09,L12062-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,L12062,424407
South West - Wessex,386896,ST8689669832,Corsham,51.427335,-2.189861,,,,,,,,,,,531186,169832
North West - Cumbria and Lancashire,352789,SD5278916048,Eccleston Heskin Bridge,53.638794,-2.715518,Heskin Bridge - level-stage-i-15_min-m,0.55,2023-08-09T19:00:00Z,2023-08-09,700421-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,700421,416048
Thames - Hertfordshre and North London,529711,TL2971119756,Watton at Stone,51.861312,-0.11775,River Beane at Watton at Stone - level-stage-i-15_min-mASD,0.379,2023-08-09T21:30:00Z,2023-08-09,4832TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4832TH,219756
Thames - West Thames,488010,,Farnborough,51.29741,-0.739058,,,,,,,,,,,2427TH,156120
North East - Yorkshire,435750,,Highfield,53.373245,-1.46412,Sheffield Highfield - level-stage-i-15_min-m,0.228,2023-08-09T21:30:00Z,2023-08-09,F0402-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F0402,386400
Southern - Solent and South Downs,534810,,Scrasebridge,51.006255,-0.079888,SCRASE BRIDGE RL - level-stage-i-15_min-mASD,0.062,2023-08-09T21:30:00Z,2023-08-09,E8350-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E8350,124740
,,TL0715,River Hill OBH,,,River Hill OBH - level-groundwater-i-1_h-mAOD,109.612,2023-08-09T18:00:00Z,2023-08-09,TL01_176-level-groundwater-i-1_h-mAOD,level,Water Level,3600,Groundwater,instantaneous,TL01_176,
North East - Yorkshire,409150,,Addingham,53.939721,-1.862096,Addingham - level-stage-i-15_min-m,0.31,2023-08-09T21:15:00Z,2023-08-09,F1903-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F1903,449300
,386705,SO86708615,Prestwood LVL,52.473154,-2.197148,Prestwood LVL - level-stage-i-15_min-mASD,0.18,2023-08-09T21:30:00Z,2023-08-09,2063-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2063,286155
,397550,NY975903,Rainfall station,55.207377,-2.040032,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,006077-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,006077,590350
,386846,SD8684622489,Throstle Mill,53.698657,-2.2007,Throstle Mill - level-stage-i-15_min-m,0.453,2023-08-09T21:30:00Z,2023-08-09,690115-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,690115,422489
North East - Yorkshire,398398,SD9839850140,Skipton Eller Beck,53.947347,-2.025888,Skipton Eller Beck - level-stage-i-15_min-m,0.138,2023-08-09T21:30:00Z,2023-08-09,F1530-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F1530,450140
North East - Yorkshire,516844,TA1684427811,Salt End,53.733596,-0.230199,,,,,,,,,,,L3311,427811
,597714,TF9771416893,GRESSENHALL SLUICE,52.713553,0.925589,GRESSENHALL SLUICE - level-stage-i-15_min-mAOD,28.89,2023-08-09T05:15:00Z,2023-08-09,E21011-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E21011,316893
,426780,SZ2678092781,MILFORD GATE RL,50.734029,-1.621887,MILFORD GATE RL - level-stage-i-15_min-mAOD,6.91,2023-08-09T13:45:00Z,2023-08-09,E14284-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E14284,92781
,316050,ST160368,Rainfall station,51.124753,-3.200962,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:00:00Z,2023-08-09,51126-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,51126,136850
Thames - West Thames,485679,,Mayfield Road,51.306404,-0.772253,,,,,,,,,,,2432TH,157081
,420650,SP206938,Rainfall station,52.542109,-1.696942,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,3288-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,3288,293850
Thames - Kent and South London,538930,,Downham Lane,51.424134,-0.003161,Spring Brook at Downham Lane - level-stage-i-15_min-mASD,-27.654,2023-08-09T21:30:00Z,2023-08-09,4327TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4327TH,171350
,450945,SK50942340,Zouch Sluice GATE,52.805789,-1.245714,Zouch Sluice GATE - level-downstage-i-15_min-mASD,0.485,2023-08-09T21:30:00Z,2023-08-09,4109-level-downstage-i-15_min-mASD,level,Water Level,900,Downstream Stage,instantaneous,4109,323405
,438514,SU3851439366,CHILBOLTON BACK CARRIER,51.152258,-1.450712,CHILBOLTON BACK CARRIER - flow--i-15_min-m3_s,0.379,2023-08-09T21:00:00Z,2023-08-09,E13826-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,E13826,139366
,491800,SP9180089300,WILLOW BROOK FSR WELDON,52.493886,-0.649292,WILLOW BROOK FSR WELDON - level-downstage-i-15_min-mAOD,81.903,2023-08-09T04:30:00Z,2023-08-09,E1311-level-downstage-i-15_min-mAOD,level,Water Level,900,Downstream Stage,instantaneous,E1311,289300
Anglian - Cambridgeshire and Bedfordshire,564800,TL 64800 76000,Isleham,52.357278,0.418569,ISLEHAM WEIR GS - level-stage-i-15_min-m,2.112,2023-08-09T21:30:00Z,2023-08-09,E22374-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E22374,276000
,,,MISLINGFORD GS,,,MISLINGFORD GS - flow--i-15_min-m3_s,0.557,2023-08-09T21:30:00Z,2023-08-09,E11692-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,E11692,
South West - Wessex,341624,,Westover Pumping Station,51.034896,-2.833902,WESTOVER PS - level-stage-i-15_min-mASD,1.098,2023-08-09T21:15:00Z,2023-08-09,52126-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,52126,126502
,554826,TQ5482678722,MARDYKE SLUICE PURFLEET,51.486254,0.228518,MARDYKE SLUICE PURFLEET - level-tidal_level-i-15_min-mAOD,0.664,2023-08-09T21:30:00Z,2023-08-09,E26233-level-tidal_level-i-15_min-mAOD,level,Water Level,900,Tidal Level,instantaneous,E26233,178722
North East - Yorkshire,505692,TA0569239284,Beverley Waterside Pumping Station,53.83905,-0.39525,,,,,,,,,,,L3207,439284
,395442,SO9544270367,Bromsgrove Factory Lane,52.331364,-2.068303,Bromsgrove Factory Lane - level-stage-i-15_min-mASD,0.474,2023-08-09T21:30:00Z,2023-08-09,2545-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2545,270367
,490991,SP9099158724,BOZEAT FSR WITS,52.219214,-0.669482,BOZEAT FSR WITS - level-stage-i-15_min-mAOD,80.28,2023-08-09T21:30:00Z,2023-08-09,E4819-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E4819,258724
Thames - Kent and South London,528100,,Salfords Bridge,51.204792,-0.1677,Salfords Stream at Salfords (A23) - level-stage-i-15_min-mASD,0.363,2023-08-09T21:30:00Z,2023-08-09,3247TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,3247TH,146660
,547550,TQ475703,Ruxley Pits Outfall RL,51.412972,0.120315,Ruxley Pits Outfall RL - level-stage-i-15_min-mAOD,28.31,2023-08-09T21:30:00Z,2023-08-09,E15460-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E15460,170350
North East - Yorkshire,435250,,Dronfield,53.302721,-1.472506,Dronfield - level-stage-i-15_min-m,0.024,2023-08-09T21:30:00Z,2023-08-09,L0215-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,L0215,378550
,307132,SY0713282985,BUDLEIGH SOUTH FARM ROAD WEST BRIDGE,50.639129,-3.314657,BUDLEIGH SOUTH FARM ROAD WEST BRIDGE - level-stage-i-15_min-m,0.585,2023-08-09T21:00:00Z,2023-08-09,E85263-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E85263,82985
,554025,TQ54027782,Dartford Creek Barrier DR,51.478413,0.2166,Dartford Creek Barrier DR - level-tidal_level-i-15_min-mAOD,0.668,2023-08-09T21:30:00Z,2023-08-09,DCB_DR-level-tidal_level-i-15_min-mAOD,level,Water Level,900,Tidal Level,instantaneous,DCB_DR,177825
,426550,SK265259,Rainfall station,52.830414,-1.607371,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,3100-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,3100,325950
North West - Cumbria and Lancashire,330201,SD3020197573,Coniston Church Bridge,54.368852,-3.075834,Coniston Church Bridge - level-stage-i-15_min-m,0.673,2023-08-09T21:30:00Z,2023-08-09,737526-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,737526,497573
,514750,TQ147999,Rainfall station,51.686586,-0.341445,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,277407TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,277407TP,199950
North West - Cumbria and Lancashire,346280,,Lancaster Quay,54.051851,-2.822021,Lancaster Quay - level-stage-i-15_min-m,2.142,2023-08-09T21:30:00Z,2023-08-09,724735-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,724735,462080
Southern - Solent and South Downs,450110,,Newport,50.701997,-1.291783,,,,,,,,,,,E15110,89390
,477850,SE778838,Rainfall station,54.244415,-0.80684,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T05:30:00Z,2023-08-09,070365-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,070365,483850
North West - Cumbria and Lancashire,339388,NY3938856291,Little Caldew Maltings,54.897638,-2.946631,,,,,,,,,,,765100,556291
South West - Wessex,347010,,East Bridge Bridport,50.731934,-2.752192,BRIDPORT EAST BRIDGE - level-stage-i-15_min-m,0.215,2023-08-09T16:00:00Z,2023-08-09,44122-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,44122,92750
,551042,TL5104265805,BOTTISHAM PS WITS,52.269652,0.212141,BOTTISHAM PS WITS - level-stage-i-15_min-m,1.719,2023-08-09T21:30:00Z,2023-08-09,E21026-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E21026,265805
South West - Devon and Cornwall,213260,,De Lank,50.558795,-4.637796,DE LANK - level-stage-i-15_min-m,0.234,2023-08-09T16:00:00Z,2023-08-09,49129-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,49129,76550
,,NY0305,Sella Park,,,Sella Park - level-groundwater-i-1_h-m,6.455,2023-08-09T05:00:00Z,2023-08-09,NY00_321-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,NY00_321,
Anglian - Cambridgeshire and Bedfordshire,548750,TL 48750 62050,Cambridge Baits Bite,52.236542,0.176925,BAITS BITE LOCK SLUICE AUTOMATION DUAL COMMS - level-stage-i-15_min-mASD,0.228,2023-08-09T15:00:00Z,2023-08-09,E60101-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E60101,262050
Anglian - Essex Norfolk and Suffolk,605768,TM 0576 957934,Stowmarket,52.181244,1.008338,STOWMARKET GS - level-stage-i-15_min-m,0.17,2023-08-09T06:30:00Z,2023-08-09,E23277-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E23277,257933
South West - Devon and Cornwall,296222,,Wimbleball Footbridge,51.05544,-3.482085,WIMBLEBALL - level-stage-i-15_min-m,0.099,2023-08-09T16:00:00Z,2023-08-09,45187-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,45187,129501
North East - Yorkshire,477986,SE7797237256,Holme House Farm,53.825745,-0.816701,Holme House Farm - level-stage-i-15_min-m,0.844,2023-08-09T21:15:00Z,2023-08-09,F3412-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F3412,437259
,283450,SS834219,Rainfall station,50.985116,-3.661811,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:15:00Z,2023-08-09,50109-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,50109,121950
North West - Greater Manchester Merseyside and Cheshire,377240,,Ashton Weir,53.438308,-2.344072,,,,,,,,,,,692726,393560
Midlands - Staffordshire Warwickshire and West Midlands,397650,SJ 9765 3906,Cresswell,52.948907,-2.036414,Cresswell LVL - level-stage-i-15_min-mASD,0.154,2023-08-09T21:30:00Z,2023-08-09,4863-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4863,339060
,,SJ5219,Hadnall ABH,,,Hadnall ABH - level-groundwater-i-1_h-mBDAT,11.93,2023-08-09T21:00:00Z,2023-08-09,2878A-level-groundwater-i-1_h-mBDAT,level,Water Level,3600,Groundwater,instantaneous,2878A,
Southern - Solent and South Downs,502694,,Littlehampton,50.806886,-0.543902,LITTLEHAMPTON TL - level-stage-i-15_min-mAOD,-0.494,2023-08-09T21:30:00Z,2023-08-09,E9740-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E9740,101825
North West - Cumbria and Lancashire,329461,SD2946177770,Fitz Bridge,54.190809,-3.082545,Fitz Bridge - level-stage-i-15_min-m,0.204,2023-08-09T21:30:00Z,2023-08-09,736406-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,736406,477770
,,SD5331,Highgate Park Rock,,,Highgate Park Rock - level-groundwater-i-1_h-m,4.484,2023-08-09T07:00:00Z,2023-08-09,SD53_70-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SD53_70,
Anglian - Essex Norfolk and Suffolk,593479,TF 93480 36549,Little Walsingham,52.891548,0.874601,LITTLE WALSINGHAM GS - level-stage-i-15_min-m,0.095,2023-08-09T15:45:00Z,2023-08-09,E24313-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E24313,336548
Anglian - Lincolnshire and Northamptonshire,511700,,Billingborough Ousemere,52.89634,-0.340975,BILLINGBOROUGH GS WITS - level-stage-i-15_min-mASD,0.079,2023-08-09T21:30:00Z,2023-08-09,E4483-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E4483,334500
Midlands - Staffordshire Warwickshire and West Midlands,420740,,Lea Marston,52.541117,-1.695622,Lea Marston LVL - level-stage-i-15_min-mASD,0.363,2023-08-09T21:00:00Z,2023-08-09,4080-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4080,293740
,582850,TQ828905,Rainfall station,51.584133,0.637851,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T14:00:00Z,2023-08-09,E24908-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E24908,190550
Midlands - Derbyshire Nottinghamshire and Leicestershire,480140,,North Muskham,53.131855,-0.803653,,,,,,,,,,,4022,360080
,535750,TF357259,Rainfall station,52.814,0.01276,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,E2493-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E2493,325950
,577250,TQ7725024410,UDIAM GS,50.991791,0.524305,UDIAM GS - flow--i-15_min-m3_s,0.281,2023-08-09T21:30:00Z,2023-08-09,E5850-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,E5850,124410
Anglian - Cambridgeshire and Bedfordshire,568006,TF 68006 25230,Castle Rising,52.798728,0.490559,CASTLE RISING GS - level-stage-i-15_min-m,0.166,2023-08-09T05:15:00Z,2023-08-09,E21050-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E21050,325260
,384020,SJ8402047692,Newcastle-Under-Lyme Lower Milehouse Lane,53.026265,-2.239695,Newcastle-Under-Lyme Lower Milehouse Lane - level-stage-i-15_min-mASD,0.43,2023-08-09T21:30:00Z,2023-08-09,4661-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4661,347692
,389350,SD893671,Rainfall station,54.100116,-2.164345,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,073422-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,073422,467150
,353250,SD532282,Penwortham,53.748499,-2.710391,Penwortham - level-stage-i-15_min-m,2.088,2023-08-09T21:30:00Z,2023-08-09,713354-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,713354,428250
,291750,SX917549,Rainfall station,50.384444,-3.523968,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:00:00Z,2023-08-09,46161-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,46161,54950
,352250,SD522018,Rainfall station,53.511139,-2.721493,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,570099-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,570099,401850
North East - Yorkshire,403462,,Oxenhope,53.808702,-1.948901,,,,,,,,,,,L1431,434715
,553550,TQ535654,Rainfall station,51.367354,0.204407,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,290578TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,290578TP,165450
Midlands - Staffordshire Warwickshire and West Midlands,390560,,Stourbridge,52.457997,-2.140347,Stourbridge LVL - level-stage-i-15_min-mASD,0.188,2023-08-09T21:30:00Z,2023-08-09,2083-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2083,284460
,616850,TR168596,Rainfall station,51.294661,1.108973,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,1023SE-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,1023SE,159650
,,SU3178,Faarn Combe OBH,,,Faarn Combe OBH - level-groundwater-i-1_h-mAOD,128.22,2023-08-09T07:00:00Z,2023-08-09,SU37_59A-level-groundwater-i-1_h-mAOD,level,Water Level,3600,Groundwater,instantaneous,SU37_59A,
,598500,TL9850037800,POLSTEAD FGS GSM,52.003131,0.890465,POLSTEAD FGS GSM - flow-stage-i-15_min-m3_s,0.163,2023-08-09T04:30:00Z,2023-08-09,E22698-flow-stage-i-15_min-m3_s,flow,Flow,900,Stage,instantaneous,E22698,237800
Southern - Solent and South Downs,454271,SU5427105903,Titchfield,50.850105,-1.230435,,,,,,,,,,,E11715,105903
,621150,TR211575,LITTLEBOURNE USGS,51.274155,1.16925,LITTLEBOURNE USGS - flow--i-15_min-m3_s,0.192,2023-08-09T21:30:00Z,2023-08-09,E3403-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,E3403,157550
,510750,TA107800,Rainfall station,54.204227,-0.30358,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,037292-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,037292,480050
Thames - Kent and South London,526240,,Kinnersley Manor,51.201071,-0.194473,RIVER MOLE AT KINNERSLEY MANOR - level-stage-i-15_min-mASD,0.17,2023-08-09T21:30:00Z,2023-08-09,3240TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,3240TH,146200
,,SD4519,"Liverpool Rd, Sollom",,,"Liverpool Rd, Sollom - level-groundwater-i-1_h-m",7.839,2023-08-09T05:00:00Z,2023-08-09,SD41_147-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SD41_147,
,504692,TQ0469222929,PALLINGHAM GS,50.996239,-0.509511,PALLINGHAM GS - flow--i-15_min-m3_s,0.421,2023-08-09T21:30:00Z,2023-08-09,2517SO-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,2517SO,122929
,284950,SS849313,Rainfall station,51.06991,-3.643436,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T16:00:00Z,2023-08-09,45158-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,45158,131350
,573800,TL7380006100,SANDFORD MILL SLUICE CHELMSFORD,51.726673,0.515086,SANDFORD MILL SLUICE CHELMSFORD - level-stage-i-15_min-m,19.558,2023-08-09T05:15:00Z,2023-08-09,E21891-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E21891,206100
